"X-axis","Y-axis","Link"
0.0,0.0,0
2.0,0.0,0
4.0,0.0,0
6.0,0.0,0
8.0,0.0,0
10.0,0.0,0
12.0,0.0,0
14.0,0.0,0
16.0,0.0,0
18.0,0.0,0
20.0,0.0,0
20.0,2.0,1
20.0,4.0,1
20.0,6.0,1
20.0,8.0,1
20.0,10.0,1
20.0,12.0,1
20.0,14.0,1
20.0,16.0,1
20.0,18.0,1
20.0,20.0,1
18.0,20.0,2
16.0,20.0,2
14.0,20.0,2
12.0,20.0,2
10.0,20.0,2
8.0,20.0,2
6.0,20.0,2
4.0,20.0,2
2.0,20.0,2
0.0,20.0,3
0.0,18.0,3
0.0,16.0,3
0.0,14.0,3
0.0,12.0,3
0.0,10.0,3
0.0,8.0,3
0.0,6.0,3
0.0,4.0,3
0.0,2.0,3
0.0,0.0,3
