stream server start
2024/09/22 09:01:51 [-C---]          0 B       0 bps 
2024/09/22 09:01:56 [CC---]       2309 B    3834 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:02:01 [CC---]       8672 B    9897 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:02:06 [CC---]      15035 B    9897 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:02:11 [CC---]      21353 B    9892 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:02:16 [CC---]      27491 B    9547 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:02:21 [CC---]      33809 B    9897 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:02:26 [CC---]      40172 B    9887 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:02:31 [CC---]      46535 B    9897 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:02:36 [CC---]      52665 B    9477 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:02:41 [CC---]      58787 B    9552 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:02:46 [CC---]      64946 B    9532 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:02:51 [CC---]      71189 B    9683 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:02:56 [CC---]      77472 B    9745 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:03:01 [CC---]      83684 B    9518 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:03:06 [CC---]      90007 B    9843 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:03:11 [CC---]      96330 B    9828 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:03:16 [CC---]     102645 B    9818 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:03:21 [CC---]     108952 B    9791 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:03:26 [CC---]     115275 B    9823 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:03:31 [CC---]     121590 B    9796 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:03:36 [CC---]     127913 B    9833 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:03:41 [CC---]     134236 B    9823 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:03:46 [CC---]     140559 B    9843 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:03:51 [CC---]     146874 B    9833 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:03:56 [CC---]     153197 B    9833 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:04:01 [CC---]     159520 B    9833 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:04:06 [CC---]     165835 B    9833 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:04:11 [CC---]     172150 B    9786 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:04:16 [CC---]     178473 B   10284 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:04:21 [CC---]     184796 B   14742 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:04:26 [CC---]     191119 B    9823 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:04:31 [CC---]     197442 B    9838 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:04:36 [CC---]     203749 B    9811 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:04:41 [CC---]     210064 B    9808 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:04:46 [CC---]     216366 B    9744 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:04:51 [CC---]     222689 B   10929 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:04:56 [CC---]     229012 B    9838 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:05:01 [CC---]     235327 B    4924 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:05:06 [CC---]     241642 B    9796 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:05:11 [CC---]     247965 B   14742 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:05:16 [CC---]     254288 B   10946 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:05:21 [CC---]     260603 B   14749 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:05:26 [CC---]     266918 B    6000 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:05:31 [CC---]     273241 B    9838 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:05:36 [CC---]     279556 B   10268 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:05:41 [CC---]     285879 B    4914 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:05:46 [CC---]     292194 B   14059 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:05:51 [CC---]     298509 B    9843 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:05:56 [CC---]     304832 B   15177 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:06:01 [CC---]     311076 B    9633 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:06:06 [CC---]     317399 B   10258 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:06:11 [CC---]     323698 B    9801 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:06:16 [CC---]     330021 B   10263 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:06:21 [CC---]     336344 B    9808 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:06:26 [CC---]     342583 B   10194 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:06:31 [CC---]     348898 B    9838 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:06:36 [CC---]     355221 B   10284 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:06:41 [CC---]     361536 B    9818 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:06:46 [CC---]     367859 B   10243 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:06:51 [CC---]     374182 B    9823 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:06:56 [CC---]     380497 B   10263 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:01 [CC---]     386733 B    9611 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:06 [CC---]     393056 B   10258 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:11 [CC---]     399355 B    9806 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:16 [CC---]     405678 B   10263 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:21 [CC---]     411993 B    9816 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:26 [CC---]     418292 B   10253 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:31 [CC---]     424615 B    9838 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:36 [CC---]     430938 B   10268 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:41 [CC---]     437261 B    9818 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:46 [CC---]     443584 B   10237 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:51 [CC---]     449891 B    9769 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:07:56 [CC---]     456214 B   10268 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:08:01 [CC---]     462621 B   10051 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:08:06 [CC---]     469124 B   10545 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
2024/09/22 09:08:11 [CC---]     475619 B   10088 bps (0) www.gnssdata.or.kr/YONS-RTCM32 
